"👑","Collector","Artworks"

"1","0xc4ed5dcd49908e9905d33284193d74b66a8f86fc","20"
"2","0xcecbe670c11d4d28678955f23e0d2d708d79c893","11"
"3","0x29ecaa773f052d14ec5258b352ee7304f57aabc3","7"
"4","0xb823dc506011eedab6f8feecc88806dbfc55ea93","6"
"5","0x123085670e817602041e58febb243abe01a9a825","5"
"6","0xf902d068920234957d2908b8b0156e61c0bea2c2","4"
"7","0xf6b0e6e6a67512496f60494f9b0da5d36bba5a17","3"
"8","0x3dca25d72528249a844e64a762cc3bfd12da514e","2"
"9","0xe5e8b63513e5716b2f7d93f2e33bd408e92588da","2"
"10","0x22838f301a7922062c35d4f317cec26488fe7812","2"
"11","0x0a1f908ec1b03b82873660256fe0dcc8c5551f2b","1"
"12","0x530cf036ed4fa58f7301a9c788c9806624cefd19","1"
"13","0xa04492742ac366d613ea1342ee7efdb8b49e73f5","1"
"14","0x27d5b14f2314fce17afc00b2bc12854aa6551408","1"
"15","0x87ee682d2d6ed87520d0f9345303b0dee955c322","1"
"16","0xac2b4b94eca37cb7c9cf7062fefb2792c5792731","1"
"17","0xa0d55039834d2373014b66a322b49e32f4869f49","1"
"18","0xa6bcec585f12cefba9709a080ce2efd38f871024","1"
"19","0x3b0535c602078a22a9954209b3556549c4e5e987","1"
"20","0xeed4c3963adf953a9ad55ecabc743a6050ea8672","1"
"21","0xd99b225d7f38a3b97def07230c1486d21ae7a67e","1"
"22","0xef7e51ade42b9bb9db5a613e5cca83dda7bba708","1"
"23","0xf0333b94f895eb5aab3822da376f9cbcfce8a19c","1"
"24","0x5436ef9f52bc943c6719c9437af2a34c0c395da1","1"
"25","0x39e34e911d193d29364a51b0d0ad1e888cf6263d","1"
"26","0xb9fedb203920981e26d84a4dea867b4927085074","1"
